opeid,name,state,subsidized_recipients,subsidized_loans_originated_nb,subsidized_loans_originated_usd,subsidized_disbursements_nb,subsidized_disbursements_usd,unsubsidized_undergraduate_recipients,unsubsidized_undergraduate_loans_originated_nb,unsubsidized_undergraduate_loans_originated_usd,unsubsidized_undergraduate_disbursements_nb,unsubsidized_undergraduate_disbursements_usd,unsubsidized_graduate_recipients,unsubsidized_graduate_loans_originated_nb,unsubsidized_graduate_loans_originated_usd,unsubsidized_graduate_disbursements_nb,unsubsidized_graduate_disbursements_usd,parent_plus_recipients,parent_plus_loans_originated_nb,parent_plus_loans_originated_usd,parent_plus_disbursements_nb,parent_plus_disbursements_usd,graduate_plus_recipients,graduate_plus_loans_originated_nb,graduate_plus_loans_originated_usd,graduate_plus_disbursements_nb,graduate_plus_disbursements_usd
30359,NATIONAL AVIATION ACADEMY,FL,803,1116," $3,641,548.00 ",1999," $3,547,398.00 ",753,1049," $4,473,140.00 ",1869," $4,329,710.00 ",2,2," $20,000.00 ",4," $20,000.00 ",80,112," $966,953.00 ",195," $948,316.00 ", - , - , $- ,0, $- 
30375,HODGES UNIVERSITY,FL,2131,2753," $8,394,000.00 ",4368," $8,381,740.00 ",2096,3502," $10,071,565.00 ",5328," $10,016,649.00 ",174,297," $2,378,499.00 ",468," $2,371,132.00 ",23,32," $129,929.00 ",50," $129,275.00 ",1,1," $2,973.00 ",1," $2,973.00 "
30542,FORTIS COLLEGE,FL,197,236," $746,102.00 ",430," $744,985.00 ",169,202," $787,392.00 ",392," $783,565.00 ", - , - , $- ,0, $- ,15,20," $64,495.00 ",38," $64,495.00 ", - , - , $- ,0, $- 
30716,COLLEGE OF BUSINESS & TECHNOLOGY,FL,1123,1387," $3,691,066.00 ",3965," $3,661,071.00 ",1047,1282," $4,334,876.00 ",3672," $4,250,850.00 ", - , - , $- ,0, $- ,50,66," $236,805.00 ",179," $228,800.00 ", - , - , $- ,0, $- 
30799,CITY COLLEGE,FL,496,595," $1,757,863.00 ",1449," $1,754,363.00 ",487,585," $2,522,340.00 ",1405," $2,516,916.00 ", - , - , $- ,0, $- ,9,9," $49,182.00 ",22," $48,351.00 ", - , - , $- ,0, $- 
30963,FORTIS INSTITUTE,FL,116,135," $401,007.00 ",237," $376,141.00 ",104,125," $441,873.00 ",215," $394,198.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
31019,TRINITY BAPTIST COLLEGE,FL,169,193," $620,822.00 ",280," $542,658.00 ",136,157," $292,359.00 ",221," $263,030.00 ",7,7," $98,639.00 ",13," $86,430.00 ",7,7," $61,337.00 ",12," $46,438.00 ", - , - , $- ,0, $- 
31085,EVERGLADES UNIVERSITY,FL,1045,1456," $5,055,898.00 ",2675," $5,035,502.00 ",1061,1469," $7,144,499.00 ",2654," $7,109,589.00 ",54,75," $780,867.00 ",138," $776,106.00 ",26,32," $239,549.00 ",60," $239,197.00 ", - , - , $- ,0, $- 
31134,"ACADEMY OF HEALING ARTS, MASSAGE & FACIAL SKIN CARE",FL,73,74," $212,979.00 ",145," $205,602.00 ",67,68," $258,762.00 ",132," $248,178.00 ", - , - , $- ,0, $- ,5,5," $24,835.00 ",8," $23,648.00 ", - , - , $- ,0, $- 
31147,PRAXIS INSTITUTE,FL,180,184," $566,918.00 ",339," $535,961.00 ",172,177," $767,760.00 ",329," $741,343.00 ", - , - , $- ,0, $- ,4,4," $18,600.00 ",8," $18,600.00 ", - , - , $- ,0, $- 
31155,ADVENTIST UNIVERSITY OF HEALTH SCIENCES,FL,1337,1505," $4,344,649.00 ",2970," $4,336,731.00 ",1567,1855," $6,397,656.00 ",3758," $6,343,286.00 ",99,101," $1,939,251.00 ",259," $1,922,941.00 ",36,43," $341,308.00 ",95," $338,155.00 ",74,81," $1,645,122.00 ",204," $1,631,278.00 "
31239,SOUTHEASTERN COLLEGE,FL,1347,1679," $4,840,299.00 ",2970," $4,656,864.00 ",1293,1551," $6,912,914.00 ",2736," $6,565,276.00 ", - , - , $- ,0, $- ,51,68," $397,858.00 ",124," $379,198.00 ", - , - , $- ,0, $- 
31256,MIAMI AD SCHOOL,FL,195,234," $758,913.00 ",563," $740,596.00 ",203,238," $1,050,336.00 ",573," $1,034,645.00 ", - , - , $- ,0, $- ,3,4," $107,328.00 ",12," $107,328.00 ", - , - , $- ,0, $- 
32243,NEW PROFESSIONS TECHNICAL INSTITUTE,FL,68,68," $224,609.00 ",175," $224,558.00 ",65,68," $276,322.00 ",169," $276,322.00 ", - , - , $- ,0, $- ,4,4," $11,808.00 ",8," $11,652.00 ", - , - , $- ,0, $- 
32383,FLORIDA COLLEGE OF INTEGRATIVE MEDICINE,FL,15,15," $52,706.00 ",20," $52,706.00 ",6,6," $20,702.00 ",9," $20,702.00 ",111,111," $2,036,174.00 ",214," $2,002,095.00 ", - , - , $- ,0, $- ,19,19," $323,484.00 ",37," $322,722.00 "
32553,FLORIDA GULF COAST UNIVERSITY,FL,4531,4868," $17,830,357.00 ",8293," $17,470,985.00 ",4424,4924," $18,064,086.00 ",8493," $17,659,962.00 ",561,661," $8,625,169.00 ",1084," $8,381,548.00 ",297,335," $3,762,121.00 ",591," $3,630,812.00 ",74,103," $1,251,998.00 ",147," $1,212,757.00 "
32643,SOUTH FLORIDA BIBLE COLLEGE AND THEOLOGICAL SEMINARY,FL,44,46," $184,225.00 ",110," $177,851.00 ",46,49," $266,314.00 ",116," $256,663.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
33463,ACADEMY FOR NURSING AND HEALTH OCCUPATIONS,FL,618,694," $1,867,726.00 ",1333," $1,786,190.00 ",604,679," $2,516,276.00 ",1429," $2,392,545.00 ", - , - , $- ,0, $- ,10,14," $57,082.00 ",25," $50,349.00 ", - , - , $- ,0, $- 
33484,MATTIA COLLEGE,FL,599,1332," $2,132,813.00 ",2085," $2,111,176.00 ",514,1322," $2,322,119.00 ",2010," $2,289,102.00 ", - , - , $- ,0, $- ,17,22," $62,719.00 ",51," $62,587.00 ", - , - , $- ,0, $- 
33733,BEACON COLLEGE,FL,53,53," $213,585.00 ",102," $212,044.00 ",62,63," $263,615.00 ",120," $259,968.00 ", - , - , $- ,0, $- ,27,27," $736,856.00 ",52," $736,856.00 ", - , - , $- ,0, $- 
33743,FLORIDA COASTAL SCHOOL OF LAW,FL, - , - , $- ,0, $- , - , - , $- ,0, $- ,1516,2462," $36,208,590.00 ",3360," $36,027,732.00 ", - , - , $- ,0, $- ,1339,2542," $42,896,085.00 ",3443," $42,626,359.00 "
33903,LINCOLN TECHNICAL INSTITUTE,FL,259,323," $785,148.00 ",640," $756,072.00 ",242,290," $984,664.00 ",578," $934,745.00 ", - , - , $- ,0, $- ,5,7," $35,310.00 ",14," $34,820.00 ", - , - , $- ,0, $- 
34114,INTERNATIONAL TRAINING CAREERS,FL,250,250," $863,771.00 ",478," $825,795.00 ",230,230," $1,004,145.00 ",440," $966,365.00 ", - , - , $- ,0, $- ,17,17," $76,602.00 ",33," $71,406.00 ", - , - , $- ,0, $- 
34145,ACUPUNCTURE AND MASSAGE COLLEGE,FL,56,69," $298,571.00 ",134," $290,321.00 ",59,72," $408,799.00 ",131," $398,341.00 ",110,152," $2,598,413.00 ",297," $2,569,748.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- 
34254,CENTRAL FLORIDA INSTITUTE,FL,438,509," $1,418,617.00 ",912," $1,359,809.00 ",425,536," $1,791,774.00 ",954," $1,711,682.00 ", - , - , $- ,0, $- ,14,16," $153,860.00 ",31," $152,913.00 ", - , - , $- ,0, $- 
34296,ATLANTIC INSTITUTE OF ORIENTAL MEDICINE,FL,15,15," $42,161.00 ",22," $42,161.00 ",14,14," $71,997.00 ",32," $71,386.00 ",110,120," $2,142,269.00 ",315," $2,116,593.00 ", - , - , $- ,0, $- ,33,37," $681,397.00 ",91," $674,929.00 "
34297,EAST WEST COLLEGE OF NATURAL MEDICINE,FL,11,11," $49,500.00 ",18," $49,500.00 ",11,11," $57,338.00 ",18," $57,181.00 ",94,132," $2,188,302.00 ",250," $2,163,745.00 ", - , - , $- ,0, $- ,29,33," $570,218.00 ",58," $561,462.00 "
34334,NEW CONCEPT MASSAGE AND BEAUTY SCHOOL,FL,69,70," $195,056.00 ",124," $186,311.00 ",44,44," $84,211.00 ",81," $75,371.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
34343,FORTIS COLLEGE,FL,550,608," $1,675,329.00 ",1204," $1,532,440.00 ",522,580," $2,437,914.00 ",1155," $2,212,688.00 ", - , - , $- ,0, $- ,7,9," $42,786.00 ",14," $40,116.00 ", - , - , $- ,0, $- 
34914,AMERICAN ADVANCED TECHNICIANS INSTITUTE,FL,74,74," $166,255.00 ",134," $157,249.00 ",65,65," $225,162.00 ",121," $212,801.00 ",1,1," $3,645.00 ",2," $3,645.00 ",7,7," $20,828.00 ",14," $18,674.00 ", - , - , $- ,0, $- 
35493,ULTIMATE MEDICAL ACADEMY,FL,14081,19499," $48,463,306.00 ",36575," $46,756,685.00 ",12390,20358," $51,535,058.00 ",37472," $48,217,475.00 ", - , - , $- ,0, $- ,22,24," $111,389.00 ",43," $107,182.00 ", - , - , $- ,0, $- 
35533,SOUTHEASTERN COLLEGE,FL,209,252," $732,691.00 ",456," $693,806.00 ",196,242," $1,129,547.00 ",435," $1,049,045.00 ", - , - , $- ,0, $- ,4,5," $29,939.00 ",8," $29,715.00 ", - , - , $- ,0, $- 
35573,NORTH FLORIDA COSMETOLOGY INSTITUTE,FL,165,178," $429,101.00 ",324," $399,928.00 ",162,174," $638,255.00 ",310," $582,931.00 ", - , - , $- ,0, $- ,2,2," $22,119.00 ",4," $22,119.00 ", - , - , $- ,0, $- 
35643,"INTERNATIONAL SCHOOL OF HEALTH, BEAUTY & TECHNOLOGY",FL,168,172," $393,412.00 ",274," $390,194.00 ",146,149," $293,893.00 ",266," $288,445.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
36114,FLORIDA BARBER ACADEMY,FL,264,282," $713,921.00 ",498," $628,926.00 ",256,274," $1,044,823.00 ",480," $872,254.00 ", - , - , $- ,0, $- ,1,1," $1,400.00 ",2," $1,400.00 ", - , - , $- ,0, $- 
36183,INSTITUTE OF TECHNICAL ARTS,FL,209,209," $664,922.00 ",361," $630,861.00 ",206,206," $1,060,433.00 ",362," $1,009,583.00 ", - , - , $- ,0, $- ,15,16," $111,337.00 ",27," $105,009.00 ", - , - , $- ,0, $- 
36274,JACKSONVILLE BEAUTY INSTITUTE,FL,74,74," $223,756.00 ",128," $222,934.00 ",71,71," $356,251.00 ",123," $353,251.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
36276,FLORIDA EDUCATION INSTITUTE,FL,191,192," $639,926.00 ",369," $629,446.00 ",161,162," $835,614.00 ",314," $814,449.00 ", - , - , $- ,0, $- ,14,14," $69,870.00 ",27," $66,216.00 ", - , - , $- ,0, $- 
36614,SOUTH FLORIDA INSTITUTE OF TECHNOLOGY,FL,354,354," $499,217.00 ",663," $471,217.00 ",2,2," $3,165.00 ",3," $3,165.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
36914,AVE MARIA SCHOOL OF LAW,FL, - , - , $- ,0, $- , - , - , $- ,0, $- ,331,357," $6,587,774.00 ",677," $6,591,241.00 ", - , - , $- ,0, $- ,282,466," $8,732,696.00 ",746," $8,692,633.00 "
36964,SABER COLLEGE,FL,433,556," $2,112,112.00 ",977," $2,100,089.00 ",420,541," $2,896,471.00 ",967," $2,886,788.00 ", - , - , $- ,0, $- ,27,34," $107,304.00 ",57," $106,699.00 ", - , - , $- ,0, $- 
37063,AMERICAN INSTITUTE,FL,263,294," $679,534.00 ",486," $644,953.00 ",251,292," $1,040,497.00 ",487," $990,119.00 ", - , - , $- ,0, $- ,9,10," $45,803.00 ",16," $45,097.00 ", - , - , $- ,0, $- 
37573,ADVANCE SCIENCE INSTITUTE,FL,11,11," $38,500.00 ",22," $38,500.00 ",9,9," $54,000.00 ",18," $53,875.00 ", - , - , $- ,0, $- ,2,2," $12,000.00 ",4," $12,000.00 ", - , - , $- ,0, $- 
38163,ARTISTIC NAILS & BEAUTY ACADEMY,FL,275,277," $674,391.00 ",441," $668,641.00 ",252,253," $1,093,666.00 ",416," $1,090,666.00 ", - , - , $- ,0, $- ,2,2," $10,500.00 ",4," $10,500.00 ", - , - , $- ,0, $- 
38233,FLORIDA ACADEMY OF HEALTH & BEAUTY,FL,20,20," $41,160.00 ",38," $41,160.00 ",11,11," $21,683.00 ",20," $21,683.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
38323,DADE MEDICAL COLLEGE,FL,2413,3302," $12,892,910.00 ",5998," $12,160,649.00 ",2249,3206," $15,433,710.00 ",5795," $14,404,405.00 ", - , - , $- ,0, $- ,84,111," $629,703.00 ",205," $583,144.00 ", - , - , $- ,0, $- 
38425,CAMBRIDGE INSTITUTE OF ALLIED HEALTH AND TECHNOLOGY,FL,119,124," $368,911.00 ",221," $343,926.00 ",117,126," $596,952.00 ",225," $546,289.00 ", - , - , $- ,0, $- ,4,5," $28,788.00 ",10," $28,476.00 ", - , - , $- ,0, $- 
38563,UNIVERSAL CAREER SCHOOL,FL,138,138," $410,491.00 ",256," $410,491.00 ",107,107," $237,850.00 ",205," $237,808.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
38565,FLORIDA SCHOOL OF TRADITIONAL MIDWIFERY,FL,31,47," $144,233.00 ",89," $137,983.00 ",34,52," $258,357.00 ",98," $246,656.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
38753,MCI INSTITUTE OF TECHNOLOGY,FL,180,180," $506,285.00 ",319," $461,550.00 ",167,194," $760,986.00 ",332," $688,730.00 ", - , - , $- ,0, $- ,9,9," $49,783.00 ",16," $47,525.00 ", - , - , $- ,0, $- 
38883,DRAGON RISES COLLEGE OF ORIENTAL MEDICINE,FL, - , - , $- ,0, $- , - , - , $- ,0, $- ,35,55," $1,075,479.00 ",109," $1,075,459.00 ", - , - , $- ,0, $- ,16,21," $119,535.00 ",37," $119,535.00 "
39035,SOUTHERN TECHNICAL COLLEGE,FL,1393,1689," $5,050,814.00 ",4018," $4,966,901.00 ",1340,1672," $7,166,962.00 ",3972," $7,034,635.00 ", - , - , $- ,0, $- ,24,26," $128,407.00 ",67," $125,377.00 ", - , - , $- ,0, $- 
39393,WOLFORD COLLEGE,FL, - , - , $- ,0, $- , - , - , $- ,0, $- ,225,226," $4,494,653.00 ",505," $4,437,103.00 ", - , - , $- ,0, $- ,201,209," $5,825,572.00 ",459," $5,511,339.00 "
39394,CENTURA INSTITUTE,FL,133,160," $429,974.00 ",305," $427,829.00 ",128,162," $684,055.00 ",313," $679,928.00 ", - , - , $- ,0, $- ,3,3," $15,156.00 ",5," $15,156.00 ", - , - , $- ,0, $- 
39396,DAYTONA COLLEGE,FL,424,554," $1,521,495.00 ",1227," $1,425,449.00 ",373,484," $1,317,764.00 ",1064," $1,201,654.00 ", - , - , $- ,0, $- ,7,7," $27,026.00 ",14," $26,755.00 ", - , - , $- ,0, $- 
39413,AVE MARIA UNIVERSITY,FL,631,674," $2,554,157.00 ",1253," $2,468,028.00 ",638,710," $2,718,342.00 ",1319," $2,609,151.00 ",25,26," $187,542.00 ",47," $182,066.00 ",135,150," $1,549,883.00 ",278," $1,498,133.00 ", - , - , $- ,0, $- 
39574,NEW COLLEGE OF FLORIDA,FL,250,267," $1,001,567.00 ",475," $993,829.00 ",222,316," $767,185.00 ",554," $757,240.00 ", - , - , $- ,0, $- ,25,28," $311,230.00 ",52," $301,847.00 ", - , - , $- ,0, $- 
39853,CDA TECHNICAL INSTITUTE,FL,295,295," $766,870.00 ",569," $743,650.00 ",286,287," $1,034,115.00 ",553," $996,837.00 ", - , - , $- ,0, $- ,49,50," $1,195,920.00 ",98," $1,145,279.00 ", - , - , $- ,0, $- 
39863,AVIATOR COLLEGE OF AERONAUTICAL SCIENCE & TECHNOLOGY,FL,31,34," $101,976.00 ",55," $88,981.00 ",28,32," $120,345.00 ",54," $107,607.00 ", - , - , $- ,0, $- ,8,13," $309,336.00 ",22," $253,198.00 ", - , - , $- ,0, $- 
40165,AMERICAN INSTITUTE OF BEAUTY,FL,249,275," $684,909.00 ",492," $637,659.00 ",250,274," $1,094,325.00 ",494," $1,014,305.00 ", - , - , $- ,0, $- ,4,4," $32,210.00 ",8," $32,210.00 ", - , - , $- ,0, $- 
40293,TRENDSETTERS OF FL. SCHOOL OF BEAUTY & BARBERING,FL,35,39," $96,750.00 ",66," $95,583.00 ",28,29," $150,000.00 ",52," $150,000.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
40393,SULLIVAN AND COGLIANO TRAINING CENTERS,FL,587,588," $1,775,406.00 ",1030," $1,605,543.00 ",559,560," $2,632,101.00 ",1025," $2,413,555.00 ", - , - , $- ,0, $- ,4,4," $16,136.00 ",6," $12,289.00 ", - , - , $- ,0, $- 
40834,CAMBRIDGE INSTITUTE OF ALLIED HEALTH & TECHNOLOGY,FL,183,222," $792,486.00 ",392," $765,750.00 ",189,234," $1,292,408.00 ",413," $1,242,597.00 ", - , - , $- ,0, $- ,6,6," $58,345.00 ",11," $58,345.00 ", - , - , $- ,0, $- 
41054,PENSACOLA SCHOOL OF MASSAGE THERAPY & HEALTH CAREERS,FL,90,90," $242,256.00 ",160," $219,843.00 ",87,87," $153,921.00 ",157," $145,935.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
41063,PALM BEACH ACADEMY OF HEALTH & BEAUTY,FL,77,78," $183,820.00 ",149," $183,820.00 ",79,81," $299,714.00 ",154," $298,604.00 ", - , - , $- ,0, $- ,2,2," $12,138.00 ",3," $12,138.00 ", - , - , $- ,0, $- 
41166,TAYLOR COLLEGE,FL,249,308," $1,049,833.00 ",585," $999,307.00 ",253,312," $1,611,678.00 ",593," $1,539,065.00 ", - , - , $- ,0, $- ,1,1," $5,700.00 ",1," $2,850.00 ", - , - , $- ,0, $- 
41194,AVEDA INSTITUTE - SOUTH FLORIDA,FL,569,642," $2,010,569.00 ",1137," $2,010,458.00 ",547,617," $2,574,241.00 ",1098," $2,566,393.00 ", - , - , $- ,0, $- ,24,26," $192,900.00 ",45," $188,687.00 ", - , - , $- ,0, $- 
41204,HI-TECH THE SCHOOL OF COSMETOLOGY,FL,130,145," $318,391.00 ",270," $317,043.00 ",121,136," $456,943.00 ",252," $459,847.00 ", - , - , $- ,0, $- ,3,3," $13,000.00 ",5," $13,000.00 ", - , - , $- ,0, $- 
41269,ACADEMY OF CAREER TRAINING,FL,120,122," $354,438.00 ",204," $309,902.00 ",107,114," $366,201.00 ",189," $321,373.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
41274,DIGITAL MEDIA ARTS COLLEGE,FL,233,377," $1,284,374.00 ",710," $1,256,730.00 ",241,364," $1,675,610.00 ",679," $1,603,328.00 ",44,67," $917,573.00 ",123," $910,340.00 ",36,51," $513,293.00 ",104," $494,311.00 ",6,8," $60,412.00 ",15," $58,070.00 "
41284,MANAGEMENT RESOURCES COLLEGE,FL,589,657," $2,612,462.00 ",1202," $2,468,876.00 ",398,461," $2,309,384.00 ",846," $2,173,592.00 ", - , - , $- ,0, $- ,3,4," $25,101.00 ",5," $22,194.00 ", - , - , $- ,0, $- 
41299,FLORIDA SCHOOL OF MASSAGE,FL,95,95," $241,305.00 ",177," $233,387.00 ",90,93," $375,815.00 ",174," $366,605.00 ", - , - , $- ,0, $- ,4,4," $26,705.00 ",8," $26,462.00 ", - , - , $- ,0, $- 
41304,SHEAR EXCELLENCE HAIR ACADEMY,FL,62,66," $180,528.00 ",113," $180,528.00 ",61,65," $262,429.00 ",112," $262,429.00 ", - , - , $- ,0, $- ,2,2," $6,400.00 ",4," $6,400.00 ", - , - , $- ,0, $- 
41335,ACADEMY FOR FIVE ELEMENT ACUPUNCTURE,FL, - , - , $- ,0, $- , - , - , $- ,0, $- ,53,70," $1,266,904.00 ",131," $1,251,330.00 ", - , - , $- ,0, $- ,19,24," $137,273.00 ",45," $137,273.00 "
41348,AVEDA INSTITUTE - TALLAHASSEE,FL,552,653," $2,007,002.00 ",1147," $2,002,118.00 ",543,646," $2,540,690.00 ",1140," $2,534,894.00 ", - , - , $- ,0, $- ,19,19," $123,146.00 ",31," $122,310.00 ", - , - , $- ,0, $- 
41349,ORANGE PARK INTERNATIONAL SCHOOL OF BEAUTY,FL,26,26," $62,536.00 ",27," $43,286.00 ",26,26," $97,901.00 ",27," $64,901.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
41350,COZMO THE SCHOOL,FL,49,52," $128,997.00 ",90," $128,997.00 ",49,52," $186,260.00 ",90," $186,260.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
41359,ALLIED HEALTH INSTITUTE,FL,651,685," $1,819,301.00 ",1258," $1,687,490.00 ",595,614," $2,675,989.00 ",1156," $2,428,595.00 ", - , - , $- ,0, $- ,4,4," $25,949.00 ",7," $20,936.00 ", - , - , $- ,0, $- 
41408,NORTH FLORIDA ACADEMY,FL,21,21," $73,500.00 ",42," $73,500.00 ",21,21," $94,000.00 ",41," $90,950.00 ", - , - , $- ,0, $- ,1,1," $6,000.00 ",2," $5,595.00 ", - , - , $- ,0, $- 
41431,PROFESSIONAL HANDS INSTITUTE,FL,52,52," $104,755.00 ",87," $102,423.00 ",42,69," $137,305.00 ",126," $132,878.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
41459,CELEBRITY SCHOOL OF BEAUTY,FL,100,102," $289,890.00 ",177," $289,038.00 ",37,37," $51,412.00 ",68," $50,646.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
41485,MEDICAL INSTITUTE OF PALM BEACH,FL,97,97," $294,162.00 ",180," $281,639.00 ",89,89," $456,093.00 ",172," $443,580.00 ", - , - , $- ,0, $- ,5,5," $26,575.00 ",9," $26,420.00 ", - , - , $- ,0, $- 
41515,AMERICAN ACADEMY OF COSMETOLOGY,FL,104,116," $269,214.00 ",210," $269,214.00 ",101,113," $407,230.00 ",215," $404,441.00 ", - , - , $- ,0, $- ,1,1," $11,900.00 ",3," $11,598.00 ", - , - , $- ,0, $- 
41563,UNIVERSITY OF FORT LAUDERDALE,FL,28,28," $118,823.00 ",116," $114,323.00 ",21,21," $109,200.00 ",74," $99,200.00 ",9,9," $93,989.00 ",28," $90,739.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- 
41564,AVIATION INSTITUTE OF MAINTENANCE,FL,276,307," $1,059,671.00 ",595," $1,052,379.00 ",277,327," $1,453,646.00 ",627," $1,419,148.00 ", - , - , $- ,0, $- ,32,38," $278,569.00 ",72," $268,340.00 ", - , - , $- ,0, $- 
41571,DELTA CONNECTION ACADEMY,FL,20,21," $38,632.00 ",32," $37,349.00 ",20,20," $30,878.00 ",32," $30,145.00 ", - , - , $- ,0, $- ,18,20," $1,205,068.00 ",39," $1,165,203.00 ", - , - , $- ,0, $- 
41620,JOSE MARIA VARGAS UNIVERSITY,FL,21,21," $57,650.00 ",28," $41,300.00 ",9,9," $39,757.00 ",10," $22,541.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
41625,HOLLYWOOD INSTITUTE OF BEAUTY CAREERS,FL,567,592," $1,437,162.00 ",932," $1,331,031.00 ",530,768," $1,895,070.00 ",1210," $1,774,508.00 ", - , - , $- ,0, $- ,9,11," $34,834.00 ",17," $33,844.00 ", - , - , $- ,0, $- 
41630,SALON PROFESSIONAL ACADEMY (THE),FL,127,138," $320,741.00 ",242," $318,658.00 ",128,139," $459,811.00 ",248," $452,740.00 ", - , - , $- ,0, $- ,4,5," $38,512.00 ",10," $38,268.00 ", - , - , $- ,0, $- 
41631,SALON PROFESSIONAL ACADEMY (THE),FL,99,114," $271,787.00 ",190," $271,787.00 ",97,113," $389,028.00 ",191," $389,028.00 ", - , - , $- ,0, $- ,2,3," $11,263.00 ",4," $11,263.00 ", - , - , $- ,0, $- 
41632,SALON PROFESSIONAL ACADEMY (THE),FL,177,209," $524,273.00 ",376," $498,586.00 ",184,219," $823,946.00 ",394," $781,610.00 ",1,1," $6,000.00 ",2," $6,000.00 ",11,11," $93,500.00 ",20," $93,500.00 ", - , - , $- ,0, $- 
41645,EUREKA INSTITUTE OF HEALTH AND BEAUTY,FL,7,7," $18,942.00 ",13," $17,650.00 ",2,2," $9,478.00 ",4," $9,478.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
41673,SALON PROFESSIONAL ACADEMY (THE),FL,46,55," $124,664.00 ",103," $122,812.00 ",47,56," $168,139.00 ",104," $165,017.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
41703,BEAUTY ACADEMY OF SOUTH FLORIDA,FL,94,95," $254,538.00 ",172," $242,317.00 ",73,74," $198,147.00 ",143," $189,227.00 ", - , - , $- ,0, $- ,2,2," $7,700.00 ",3," $7,700.00 ", - , - , $- ,0, $- 
41723,"ETERNITY COSMETOLOGY SCHOOL, CORP.",FL,111,114," $309,925.00 ",184," $309,573.00 ",109,111," $465,959.00 ",178," $459,548.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
41736,NOTTER SCHOOL OF PASTRY ARTS,FL,34,34," $86,872.00 ",35," $46,937.00 ",34,34," $142,700.00 ",35," $76,551.00 ", - , - , $- ,0, $- ,4,4," $43,036.00 ",4," $26,636.00 ", - , - , $- ,0, $- 
41768,PROGRESSIVE TRAINING CENTERS,FL,3,3," $3,712.00 ",3," $1,920.00 ",1,1," $3,620.00 ",1," $1,920.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
41769,AMERICAN HEALTH INSTITUTE,FL,69,84," $235,176.00 ",147," $224,592.00 ",50,55," $185,322.00 ",103," $184,612.00 ", - , - , $- ,0, $- ,1,2," $5,000.00 ",2," $4,000.00 ", - , - , $- ,0, $- 
41825,MILLENNIA ATLANTIC UNIVERSITY,FL,18,22," $91,313.00 ",40," $85,691.00 ",14,18," $99,959.00 ",34," $90,959.00 ",12,13," $179,678.00 ",33," $169,908.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- 
41883,FLORIDA ACADEMY,FL,78,79," $191,640.00 ",149," $188,420.00 ",77,79," $329,831.00 ",149," $321,084.00 ", - , - , $- ,0, $- ,7,7," $59,838.00 ",14," $59,485.00 ", - , - , $- ,0, $- 
41921,AMERICAN MEDICAL ACADEMY,FL,46,47," $143,215.00 ",80," $136,212.00 ",32,32," $126,777.00 ",55," $121,825.00 ", - , - , $- ,0, $- ,1,1," $3,000.00 ",1," $3,000.00 ", - , - , $- ,0, $- 
41951,AMBIANCE BEAUTY & BARBER ACADEMY,FL,37,41," $111,168.00 ",74," $111,168.00 ",36,39," $147,766.00 ",74," $147,766.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
41976,"FLORIDA INSTITUTE OF RECORDING, SOUND AND TECHNOLOGY",FL,116,116," $153,390.00 ",207," $149,985.00 ",120,120," $231,253.00 ",215," $231,253.00 ", - , - , $- ,0, $- ,23,23," $371,951.00 ",43," $371,195.00 ", - , - , $- ,0, $- 
